,시설물 대분류,시설물 중분류,시설물 소분류
0,건축,건축물,"['근린생활시설' '공동주택' '기타' '단독주택' '공장' '창고시설' '교육연구시설' '업무시설' '운동시설' '노유자시설'
 '종교시설' '숙박시설' '수련시설' '문화 및 집회시설' '교정 및 군사시설' '자동차 관련시설' '의료시설' '방송통신시설'
 '운수시설' '판매시설' '동물 및 식물 관련시설' '위험물 저장 및 처리시설' '묘지관련시설' '관광 휴게시설' '위락시설'
 '장례시설' '']"
1,산업환경설비,발전시설,['']
2,산업환경설비,산업생산시설,['제철공장' '석유화학공장' '']
3,산업환경설비,환경시설,['환경오염방지시설' '하수처리시설' '공공폐수처리시설' '소각장' '수처리설비시설' '중수도/하폐수처리수 재이용시설' '']
4,조경,공원,['']
5,조경,기타,['']
6,조경,생태공원,['']
7,조경,수목원,['']
8,조경,숲,['']
9,조경,정원,['']
10,토목,공동구,['']
11,토목,교량,['도로교량' '철도교량' '기타' '복개구조물']
12,토목,기타,['부지조성' '간척매립' '']
13,토목,댐,['용수전용댐' '다목적댐' '기타' '홍수전용댐']
14,토목,도로,['도로' '기타' '']
15,토목,상하수도,['하수도' '기타' '상수도']
16,토목,옹벽 및 절토사면,['기타' '옹벽' '절토사면']
17,토목,철도,['지하철' '일반 및 고속철도' '기타']
18,토목,터널,['철도터널' '지하차도' '도로터널' '기타' '']
19,토목,하천,['제방' '보' '수문/통문' '기타' '관개수로' '배수펌프장']
20,토목,항만,['기타' '계류시설' '호안' '방파제' '갑문' '' '파제제']
