,작업프로세스
0,상차 및 하역작업
1,기타
2,설치작업
3,해체작업
4,운반작업
5,이동
6,형틀 및 목공
7,타설작업
8,준비작업
9,굴착작업
10,양중작업
11,조립작업
12,마감작업
13,정리작업
14,청소작업
15,반출작업
16,연결작업
17,적재작업
18,설비작업
19,인양작업
20,도장작업
21,절단작업
22,정비작업
23,고소작업
24,전기작업
25,쌓기작업
26,양생작업
27,보수 및 교체작업
28,매설작업
29,벌목작업
30,천공작업
31,항타 및 항발작업
32,확인 및 점검작업
33,부설 및 다짐작업
34,용접작업
35,거치작업
36,물뿌리기 작업
37,측량작업
38,절취작업
39,장약 및 발파작업
40,인발작업
41,
42,철근조립작업
43,자재정리
44,장비이동
45,자재이동
46,정지작업
47,점검
48,장비청소
49,제거작업
50,평탄작업
51,철거작업
52,작업장 출입
53,고정작업
54,돌붙임 및 줄눈 작업
55,수정작업
56,다짐작업
57,교체작업
58,토사하역
59,상차작업
60,전기배선작업
